Number of Posts,Followers,Following,Label
0,10,1409,1
3,75,598,0
1,263,3122,1
24,26,155,0
80,1621,915,0
0,136,2672,1
0,22,518,1
136,149,256,0
48,217,686,0
0,324,284,0
30,104,417,0
0,58,368,1
1,44,509,0
261,239,1382,0
8,574,518,0
69,330,164,0
19,1018,547,0
0,215,182,0
139,215,738,1
0,3,47,1
25,927,503,0
41,1059,380,0
181,1014,636,0
0,78,207,1
9,1006,2062,0
6,229,282,0
28,133,638,0
68,323,393,0
0,431,1556,0
23,139,435,0
10,166,244,0
8,188,121,0
0,183,2152,1
146,192,2943,0
25,25,449,1
120,1581,738,0
18,260,4750,1
47,2,2181,1
383,205,272,0
102,1128,375,0
85,67,780,0
28,87,308,0
17,466,365,0
51,125,376,0
15,641,108,0
7,215,73,0
18,1414,199,0
1,22,833,1
0,297,404,0
0,18,199,1
21,267,241,0
30,333,1729,0
16,177,1828,0
540,654,3234,1
0,2,53,1
16,3328,1225,0
0,12,317,1
3,221,1681,1
12,987,2006,0
4,91,2514,1
184,1172,1166,0
0,2,36,1
7,596,730,0
1,114,394,0
0,0,26,1
2,127,933,0
19,125,174,0
32,162,310,0
0,147,385,0
4,27,478,0
62,134,183,0
75,367,514,0
18,526,295,0
0,0,738,1
0,148,259,0
61,34,1692,0
0,1,145,1
0,355,290,0
50,65,105,0
143,73,300,0
4,933,1310,0
0,249,1903,1
0,0,264,1
0,8,171,1
0,40,1361,1
0,0,1054,1
0,0,184,1
0,269,3092,1
60,660,429,0
0,0,409,1
0,58,630,0
0,15,49,0
1,228,360,0
0,78,3477,1
40,178,385,0
12,128,148,0
15,50,80,0
0,84,850,1
49,625,2340,0
50,629,3797,0
22,635,1361,0
0,126,202,0
291,50080,351,0
0,27,930,1
33,653,488,0
16,376,458,0
0,77,94,0
0,194,58,0
0,277,310,0
16,217,323,0
0,81,5389,1
50,2249,2710,0
64,1439,754,0
27,140,470,0
6,301,118,0
109,525,890,0
135,1054,1279,0
0,3,288,1
5,52,66,0
24,309,569,0
0,26,74,0
77,301,213,0
24,118,213,0
230,5183,2851,0
1,203,180,0
1,133,241,0
0,23,745,1
