Number of Posts,Followers,Following,Label,username_length,username_digits,username_special_chars,name_username_similarity,bio_length,bio_suspicious,follower_following_ratio
-0.2608700087204881,-0.2219370959267201,-0.7370902071289305,0.0,-0.3147331064464126,2,0,1,-0.4531167171526826,0,0.2685542856082282
-0.4099935933868393,-0.8902319307634446,-0.9561326828596596,0.0,0.92717028169576,2,0,0,-0.2147284477197271,0,-0.5956960850183765
-0.3557668353263479,-0.7909424124448456,-1.026104584829198,0.0,-0.9356848005174988,0,0,1,-0.426629131660132,0,-0.1513192483315444
-0.4099935933868393,-0.8558624821146988,-1.0321890980439403,0.0,-1.8671123416241284,2,0,1,-0.8504304995409417,0,-0.4206232323611993
-0.4099935933868393,-0.0500898526829909,-0.5484702974719137,0.0,-0.6252089534819558,2,0,0,-0.2677036187048283,0,0.1453310221019063
3.006292164424115,3.447956254233807,0.78708035316406,0.0,-1.8671123416241284,0,0,1,0.8447749719822971,0,0.6037367264652632
-0.2201999401751196,-0.2639441998307428,-0.0160753911819469,0.0,-0.6252089534819558,0,2,0,-0.6120422301079862,0,-0.3195683788261377
-0.0304062869633999,0.74804512149344,-0.5819351201529973,0.0,1.237646128731303,0,0,0,0.3415108476238356,0,0.9572712308149204
-0.4099935933868393,-0.8825942755081678,-1.050442637688168,0.0,0.6166944346602168,3,0,0,-0.0822905202569741,0,-0.5261038459050956
-0.4099935933868393,0.3661623587295974,0.0295584579286216,0.0,-0.0042572594108695,0,1,1,-0.4001415461675813,0,-0.0389052240242255
-0.3286534562961022,0.0110113893592238,-0.3902729538886093,0.0,1.237646128731303,3,2,0,0.2355605056536331,0,0.0291806282445459
1.1625823903674095,0.6754873965683099,1.0122073421095317,0.0,0.3062185876246736,0,1,0,-0.1087781057495247,0,-0.227473824522446
-0.0304062869633999,-0.5121679956272405,-0.8374846751721813,0.0,0.3062185876246736,0,0,1,0.2090729201610826,0,0.0488903270375939
-0.4099935933868393,-0.8787754478805294,-1.0078510451849707,0.0,-0.0042572594108695,2,0,1,-0.8504304995409417,0,-0.5413173959354654
-0.2744266982356109,0.5380096019733266,0.3946292508131702,0.0,-0.0042572594108695,0,0,0,-0.2941912041973789,0,-0.1167029304840409
-0.4099935933868393,-0.409059649681003,-0.7036253844478468,0.0,-0.6252089534819558,5,0,0,2.7518811274459405,0,-0.0263866980607008
-0.3964369038717165,-0.8405871716041452,-0.6762450749815057,0.0,0.3062185876246736,4,0,0,-0.6915049865856381,0,-0.557241557644536
-0.3557668353263479,0.0148302169868622,-0.3902729538886093,0.0,-0.3147331064464126,2,0,0,-0.4531167171526826,0,0.0319283610521558
0.1051606081878284,-0.1684735091397821,-0.0130331345745756,0.0,0.6166944346602168,0,0,0,-0.4001415461675813,0,-0.2744108742026598
-0.0575196659936455,-0.5007115127443252,1.5719825578658395,1.0,-0.3147331064464126,0,0,1,-0.8504304995409417,0,-0.546705528237888
-0.4099935933868393,-0.8978695860187216,-1.1204145396577063,0.0,-1.556636494588585,4,1,1,-0.8504304995409417,0,-0.5648292459824003
-0.3828802143565936,-0.56181275478654,-0.4359068029991778,0.0,-1.246160647553042,0,1,1,-0.4531167171526826,0,-0.3674359738369464
0.2813975718844253,-0.4052408220533646,-0.1742727347652513,0.0,0.92717028169576,2,0,0,1.5069646092960622,0,-0.3490848993819537
0.9050052895800758,3.134812388767456,0.0204316881065079,0.0,-0.9356848005174988,3,0,0,1.0301880704301514,0,1.2610547359008173
3.101188991029975,0.4119882902612585,-1.0230623282218267,0.0,2.1690736698379323,0,0,0,-0.3471663751824801,0,4.889919964906508
-0.2744266982356109,-0.0539086803106294,0.5224040283227622,0.0,-1.556636494588585,3,0,0,-0.6650174010930875,0,-0.3496524356315038
-0.4099935933868393,-0.2104806130438048,0.7657845569124614,0.0,0.6166944346602168,0,0,0,-0.6120422301079862,0,-0.4296951051949454
-0.3828802143565936,2.340496242218664,0.2820657563404344,0.0,-1.246160647553042,0,0,0,-0.5060918881377838,0,0.6130214566513409
1.9624270717596568,-0.8176742058383146,-0.4663293690728902,0.0,-0.3147331064464126,2,0,0,-0.8504304995409417,0,-0.5603904306343064
0.0373771606122142,1.9624323070824592,0.1938403147266685,0.0,-0.3147331064464126,4,0,0,2.1161790756247263,0,0.5401038665317976
-0.4099935933868393,-0.7985800677001225,-0.8374846751721813,0.0,0.6166944346602168,0,0,0,-0.8504304995409417,0,-0.4484757316475683
-0.3693235248414708,-0.8062177229553993,-0.527174501220315,0.0,-0.9356848005174988,4,0,0,-0.2941912041973789,0,-0.5438283702123224
-0.4099935933868393,-0.8902319307634446,-0.8040198524910976,0.0,-1.8671123416241284,4,0,1,-0.8504304995409417,0,-0.6095358362165724
-0.016849597448277,-0.3670525457769803,-0.8070621090984689,0.0,-0.3147331064464126,3,0,1,2.990269396878896,0,0.2194490737118509
