Number of Posts,Followers,Following,Label,follower_following_ratio
-0.409993593,-0.897869586,0.6015027,1,-0.626332225
0.308510951,-0.260125372,-0.804019852,0,0.380006374
1.040572185,0.098844425,-0.618442199,0,0.399156606
-0.382880214,-0.56945041,-0.807062109,0,-0.101192063
-0.409993593,-0.508349168,-0.633653482,0,-0.212105663
-0.409993593,0.755682777,1.465503577,0,-0.279883464
-0.328653456,-0.72984117,-0.968301709,0,-0.118746495
-0.409993593,-0.897869586,-1.123456796,1,-0.558559419
-0.409993593,-0.34413958,-0.697540871,0,0.04376193
-0.274426698,-0.810036551,-0.26858269,1,-0.570646611
-0.382880214,-0.901688414,-0.685371845,1,-0.627527513
0.267840882,2.741473143,1.173446942,0,0.232545182
-0.071076356,0.484546015,1.407700701,0,-0.330194758
0.118717298,1.60346251,0.403756021,0,0.256126185
-0.396436904,-0.768029447,-0.800977596,0,-0.419434127
-0.409993593,-0.34413958,0.863136768,1,-0.475652073
-0.315096767,0.641117948,0.498065975,0,-0.114394736
3.562116435,-0.56945041,1.276883667,1,-0.55243084
-0.206643251,0.679306224,0.45851664,0,-0.088795613
0.362737709,0.797689881,0.686685885,0,-0.120241536
-0.409993593,-0.901688414,-0.858780471,1,-0.627527513
-0.409993593,-0.87495662,-0.41156875,1,-0.607741584
-0.382880214,-0.416697305,-0.378103927,0,-0.284039361
0.688098257,-0.103553439,1.952264634,1,-0.486348947
0.593201431,-0.435791443,-1.038273611,0,1.586711278
-0.409993593,-0.886413103,-0.560639324,1,-0.613380212
-0.260870009,0.068293804,0.437220843,0,-0.292577307
-0.396436904,0.125576218,-0.934836887,0,1.949197091
-0.409993593,-0.790942412,0.1177839,1,-0.579678835
-0.409993593,-0.897869586,-1.020020072,1,-0.611852946
-0.409993593,-0.867318965,-1.065653921,0,-0.413488602
-0.409993593,0.179039805,0.482854692,0,-0.264739958
-0.369323525,-0.462523236,-0.764470517,0,-0.007892298
1.121912322,-0.535080961,1.182573712,1,-0.541317396
-0.328653456,1.82877334,1.012207342,0,0.065059381
-0.409993593,-0.901688414,-0.959174939,1,-0.627527513
-0.369323525,0.41198829,-0.320301052,0,0.238349281
-0.396436904,-0.267763027,-0.445033573,0,-0.136166847
-0.396436904,2.050265343,0.978742519,0,0.132990836
